,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
2568,15,en,115.0,When the Game Stands Tall,232679,young coach turn lose high school footbal program around go undef 12 consecut season,a young coach turns a losing high school football program around to go undefeated for 12 consecutive seasons,6.3,american-football sport high-school-sports,drama,jim-caviezel michael-chiklis laura-dern clancy-brown ser'darius-blain,thomas-carter,david-zelon,English,mandalay-pictures affirm-films,United-States-of-America,david-zelon thomas-carter
2569,14,en,106.0,Because of Winn-Dixie,17880,girl abandon mother three move small town florida father adopt orphan dog name winndixi bond girl special companion bring togeth peopl small florida town heal troubl relationship father,a girl abandoned by her mother when she was three moves to a small town in florida with her father there she adopts an orphaned dog she names winndixie the bond between the girl and her special companion brings together the people in a small florida town and heals her own troubled relationship with her father,6.1,,comedy drama family,jeff-daniels annasophia-robb cicely-tyson eva-marie-saint dave-matthews,wayne-wang,,English,twentieth-century-fox-film-corporation,United-States-of-America,wayne-wang
2570,20,en,124.0,Love & Basketball,14736,young africanamerican coupl navig tricki path romanc athlet drama quinci mccall omar epp monica wright sanaa lathan grew neighborhood known sinc childhood grow adulthood fall love also share anoth allconsum passion basketbal theyv follow game live small amount talent court quinci monica struggl make relationship work follow separ career path though high school colleg basketbal hope stardom bigleagu profession ball,a young africanamerican couple navigates the tricky paths of romance and athletics in this drama quincy mccall omar epps and monica wright sanaa lathan grew up in the same neighborhood and have known each other since childhood as they grow into adulthood they fall in love but they also share another allconsuming passion basketball theyve followed the game all their lives and have no small amount of talent on the court as quincy and monica struggle to make their relationship work they follow separate career paths though high school and college basketball and they hope into stardom in bigleague professional ball,7.4,lovers affection sport basketball high-school-sports relationship woman-director,action comedy drama romance,"chris-warren,-jr. kyla-pratt sanaa-lathan omar-epps alfre-woodard",gina-prince-bythewood,spike-lee sam-kitt,English Español,40-acres-&-a-mule-filmworks,United-States-of-America,spike-lee sam-kitt gina-prince-bythewood
2571,0,en,107.0,Grosse Pointe Blank,9434,martin blank freelanc hitman start develop conscienc caus muff coupl routin assign advic secretari psychiatrist attend 10th year high school reunion gross point michigan,martin blank is a freelance hitman who starts to develop a conscience which causes him to muff a couple of routine assignments on the advice of his secretary and his psychiatrist he attends his 10th year high school reunion in grosse pointe michigan,6.9,mission-of-murder school-party high-school-reunion,action comedy thriller romance,john-cusack minnie-driver dan-aykroyd joan-cusack alan-arkin,george-armitage,susan-arnold,English,caravan-pictures hollywood-pictures,United-States-of-America,susan-arnold george-armitage
2572,15,en,99.0,All About Steve,23706,one short date brilliant crossword constructor decid cnn cameraman true love cameraman job take hither yon crisscross countri turn media event tri convinc perfect,after one short date a brilliant crossword constructor decides that a cnn cameraman is her true love because the cameramans job takes him hither and yon she crisscrosses the country turning up at media events as she tries to convince him they are perfect for each other,4.7,blind-date eccentric aftercreditsstinger crossword-puzzle mine-shaft,comedy,sandra-bullock thomas-haden-church bradley-cooper ken-jeong dj-qualls,phil-traill,sandra-bullock mary-mclaglen jeffrey-harlacker,Español English,dune-entertainment fox-2000-pictures,United-States-of-America,sandra-bullock mary-mclaglen jeffrey-harlacker phil-traill
2573,0,en,90.0,Book of Shadows: Blair Witch 2,11531,young adult becom fascin event three miss filmmak maryland decid go wood find realli happen,young adults become fascinated by the events of the three missing filmmakers in maryland so they decide to go into the same woods and find out what really happened,4.3,witch video forest horror vision,mystery thriller horror,kim-director jeffrey-donovan erica-leerhsen tristine-skyler stephen-barker-turner,joe-berlinger,bill-carraro,English,artisan-entertainment haxan-films,United-States-of-America,bill-carraro joe-berlinger
2574,15,en,101.0,The Craft,9100,cathol school newcom fall cliqu teen witch wield power dare cross teacher rival meddlesom parent,a catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them  be they teachers rivals or meddlesome parents,6.3,witch suicide-attempt puberty magic black-magic sorcery female-friendship teenager hair-loss outsider occult-ritual karma newcomer love-spell,drama fantasy horror thriller,robin-tunney fairuza-balk neve-campbell rachel-true skeet-ulrich,andrew-fleming,douglas-wick,English,columbia-pictures,United-States-of-America,douglas-wick andrew-fleming
2575,15,en,124.0,Match Point,116,match point woodi allen satir british high societi ambit young tenni instructor enter yet must decid two women one assur place high societi would bring far palm start sweat dark psycholog match head begin,match point is woody allens satire of the british high society and the ambition of a young tennis instructor to enter into it yet when he must decide between two women  one assuring him his place in high society and the other that would bring him far from it  palms start to sweat and a dark psychological match in his head begins,7.3,love-triangle london-england upper-class adultery tennis river-thames love wealth lust instructor gold-digger social-climbing actress,drama thriller crime romance,jonathan-rhys-meyers scarlett-johansson emily-mortimer brian-cox penelope-wilton,woody-allen,letty-aronson nicky-kentish-barnes stephen-tenenbaum gareth-wiley,English,dreamworks,Ireland Luxembourg Russia United-Kingdom United-States-of-America,letty-aronson nicky-kentish-barnes stephen-tenenbaum gareth-wiley woody-allen
2576,0,en,103.0,Ramona and Beezus,38843,ramona littl girl big imagin nose mischief play antic keep everyon love famili toe includ older sister beezu who tri surviv first year high school up down childhood ramona beezu learn anyth possibl believ reli,ramona is a little girl with a very big imagination and a nose for mischief her playful antics keep everyone in her loving family on their toes including her older sister beezus whos just trying to survive her first year of high school through all the ups and downs of childhood ramona and beezus learn that anythings possible when you believe in yourself and rely on each other,6.1,sister-sister-relationship mother-daughter-relationship aunt-niece-relationship father-daughter-relationship duringcreditsstinger woman-director,comedy family,joey-king selena-gomez john-corbett bridget-moynahan ginnifer-goodwin,elizabeth-allen-rosenbaum,denise-di-novi alison-greenspan,English,dune-entertainment dinovi-pictures,United-States-of-America,denise-di-novi alison-greenspan elizabeth-allen-rosenbaum
2577,11,en,134.0,The Remains of the Day,1245,rule bound head butler world manner decorum household maintain test arriv housekeep fall love postwwi britain possibl romanc master cultiv tie nazi caus challeng care maintain veneer servitud,a rule bound head butlers world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in postwwi britain the possibility of romance and his masters cultivation of ties with the nazi cause challenge his carefully maintained veneer of servitude,7.5,newspaper butler country-house loyalty flower nazis jewish britain housekeeper employer,drama romance,anthony-hopkins emma-thompson james-fox christopher-reeve hugh-grant,james-ivory,mike-nichols john-calley ismail-merchant,English,columbia-pictures merchant-ivory-productions,United-Kingdom United-States-of-America,mike-nichols john-calley ismail-merchant james-ivory
2578,15,en,155.0,Boogie Nights,4995,set 1977 back sex safe pleasur busi busi boom idealist porn produc jack horner aspir elev craft art form horner discov eddi adam hot young talent work busboy nightclub welcom extend famili moviemak misfit hangerson alway around adam rise nobodi celebr adult entertain meteor soon whole world seem know porn alter ego dirk diggler disco drug vogu fashion flux parti never seem stop adam dream turn sex stardom collid cold hard realiti,set in 1977 back when sex was safe pleasure was a business and business was booming idealistic porn producer jack horner aspires to elevate his craft to an art form horner discovers eddie adams a hot young talent working as a busboy in a nightclub and welcomes him into the extended family of moviemakers misfits and hangerson that are always around adams rise from nobody to a celebrity adult entertainer is meteoric and soon the whole world seems to know his porn alter ego dirk diggler now when disco and drugs are in vogue fashion is in flux and the party never seems to stop adams dreams of turning sex into stardom are about to collide with cold hard reality,7.5,pornography sex porn-actor pornographic-video from-rags-to-riches drug porn-industry gay-lead-character,drama,mark-wahlberg burt-reynolds john-c.-reilly julianne-moore thomas-jane,paul-thomas-anderson,john-s.-lyons lloyd-levin paul-thomas-anderson daniel-lupi joanne-sellar,English,new-line-cinema ghoulardi-film-company,United-States-of-America,john-s.-lyons lloyd-levin paul-thomas-anderson daniel-lupi joanne-sellar
2579,0,en,94.0,Nowhere to Run,10413,escap convict sam gillen singl handedli take ruthless develop determin evict clydi widow two young children nobodi know sam,escaped convict sam gillen single handedly takes on ruthless developers determined to evict clydie  a widow with two young children nobody knows who sam is,5.5,prisoner fight liberation shelter,action adventure drama thriller,jean-claude-van-damme rosanna-arquette kieran-culkin ted-levine tiffany-taubman,robert-harmon,gary-adelson craig-baumgarten,English,columbia-pictures,United-States-of-America,gary-adelson craig-baumgarten robert-harmon
2580,15,en,95.0,Flicka,14012,headstrong 16 year old kati mclaughlin desir work famili mountainsid hors ranch although father insist finish board school kati find mustang hill near ranch kati set mind tame mustang prove father run ranch tragedi happen take love strength famili muster restor hope,a headstrong 16 year old katy mclaughlin desires to work on her familys mountainside horse ranch although her father insists she finish boarding school katy finds a mustang in the hills near her ranch katy then sets her mind to tame a mustang and prove to her father she can run the ranch but when tragedy happens it will take all the love and strength the family can muster to restore hope,6.1,horse,drama,tim-mcgraw maria-bello armie-hammer alison-lohman ryan-kwanten,michael-mayer,,English,twentieth-century-fox-film-corporation fox-2000-pictures,United-Kingdom United-States-of-America,michael-mayer
2581,15,en,89.0,The Hills Have Eyes 2,9793,group nation guard traine find battl viciou group mutant last day train desert,a group of national guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert,5.2,new-mexico mutant assault survival,horror thriller,michael-bailey-smith archie-kao jay-acovone jeff-kober philip-pavel,martin-weisz,wes-craven marianne-maddalena peter-locke samy-layani,English Español,dune-entertainment craven-maddalena-films,United-States-of-America,wes-craven marianne-maddalena peter-locke samy-layani martin-weisz
2582,14,en,97.0,Urban Legends: Final Cut,12212,make horror movi take terrifi realiti student prestigi film school countri urban legend final cut suspens follow smash hit urban legend alpin univers someon determin win best film award cost even mean elimin competit one safe everyon suspect urban legend final cut edgeofyourseat thriller keep guess shock climax,the making of a horror movie takes on a terrifying reality for students at the most prestigious film school in the country in urban legends final cut the suspenseful follow up to the smash hit urban legend at alpine university someone is determined to win the best film award at any cost  even if it means eliminating the competition no one is safe and everyone is a suspect urban legends final cut is an edgeofyourseat thriller that will keep you guessing until the shocking climax,4.4,film-making high-school sequel serial-killer slasher aftercreditsstinger,horror,jennifer-morrison matthew-davis loretta-devine hart-bochner anthony-anderson,john-ottman,neal-h.-moritz,English,original-film phoenix-pictures,Canada United-States-of-America,neal-h.-moritz john-ottman
2583,0,en,90.0,Tuck Everlasting,13768,natali babbitt award win book children come screen lavish adapt walt disney pictur winni foster alexi bledel girl earli teen grow small rural town winesap 1914 winni parent victor garber ami irv love overprotect winni long life greater freedom adventur,natalie babbitts award winning book for children comes to the screen in a lavish adaptation from walt disney pictures winnie foster alexis bledel is a girl in her early teens growing up in the small rural town of winesap in 1914 winnies parents victor garber and amy irving are loving but overprotective and winnie longs for a life of greater freedom and adventure,6.4,,fantasy drama science-fiction romance family,alexis-bledel william-hurt sissy-spacek jonathan-jackson scott-bairstow,jay-russell,,English Français,walt-disney-pictures,United-States-of-America,jay-russell
2584,20,en,92.0,The Marine,8975,group diamond thiev run kidnap wife recent discharg marin goe chase south carolinian wilder retriev,a group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the south carolinian wilderness to retrieve her,5.0,gangster-boss wife war change iraq-war,action adventure drama thriller,john-cena kelly-carlson robert-patrick abigail-bianca anthony-ray-parker,john-bonito,joel-simon jonathan-winfrey,العربية English,twentieth-century-fox-film-corporation pacific-film-and-television-commission,United-States-of-America,joel-simon jonathan-winfrey john-bonito
2585,15,en,94.0,Keanu,342521,friend hatch plot retriev stolen cat pose drug dealer street gang,friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang,6.0,hitman strip-club african-american gangster car-chase kitten buddy-comedy gun-fight stolen-pet designer-drug,action comedy,jordan-peele keegan-michael-key tiffany-haddish method-man darrell-britt-gibson,peter-atencio,peter-principato jordan-peele keegan-michael-key joel-zadak,English,new-line-cinema,United-States-of-America,peter-principato jordan-peele keegan-michael-key joel-zadak peter-atencio
2586,15,en,117.0,Country Strong,45272,soon rise young singersongwrit beau william get involv fallen emot unstabl countri star kelli canter pair embark career resurrect tour helm husbandmanag jame featur beauti queenturnedsing chile stanton concert romant entangl old demon threaten derail,soon after the rising young singersongwriter beau williams gets involved with a fallen emotionally unstable country star kelly canter the pair embark on a career resurrection tour helmed by her husbandmanager james and featuring a beauty queenturnedsinger chiles stanton between concerts romantic entanglements and old demons threaten to derail them all,5.9,suicide alcohol adultery country-music bar infidelity texas paparazzi musician musical van addiction biker love singer woman-director,drama romance,gwyneth-paltrow garrett-hedlund tim-mcgraw leighton-meester marshall-chapman,shana-feste,tobey-maguire jenno-topping george-flynn meredith-zamsky,English,maguire-entertainment screen-gems,United-States-of-America,tobey-maguire jenno-topping george-flynn meredith-zamsky shana-feste
2587,15,en,84.0,Disturbing Behavior,9424,steve clark jame marsden newcom town cradl bay quickli realiz there someth odd high school classmat cliqu known blue ribbon eeri embodi academ excel clean live like rest town theyr littl perfect steve rebelli friend gavin nick stahl mysteri join rank steve search truth fellow misfit rachel kati holm,steve clark james marsden is a newcomer in the town of cradle bay and he quickly realizes that theres something odd about his high school classmates the clique known as the blue ribbons are the eerie embodiment of academic excellence and clean living but like the rest of the town theyre a little too perfect when steves rebellious friend gavin nick stahl mysteriously joins their ranks steve searches for the truth with fellow misfit rachel katie holmes,5.5,suicide sex island nightmare chase police insanity high-school control mind-control murder teacher student brainwashing teenager rage behavior,mystery horror science-fiction,james-marsden katie-holmes nick-stahl steve-railsback bruce-greenwood,david-nutter,armyan-bernstein jonathan-shestack,English,village-roadshow-pictures beacon-communications,Australia United-States-of-America,armyan-bernstein jonathan-shestack david-nutter
2588,15,en,140.0,The Place Beyond the Pines,97367,motorcycl stunt rider consid commit crime order provid wife child act put collis cours copturnedpolitician,a motorcycle stunt rider considers committing a crime in order to provide for his wife and child an act that puts him on a collision course with a copturnedpolitician,6.8,corruption father-son-relationship carnival mechanic motorcycle bank-robbery,drama crime,ryan-gosling bradley-cooper eva-mendes dane-dehaan emory-cohen,derek-cianfrance,sidney-kimmel lynette-howell alex-orlovsky jamie-patricof,English Español,sidney-kimmel-entertainment electric-city-entertainment,United-States-of-America,sidney-kimmel lynette-howell alex-orlovsky jamie-patricof derek-cianfrance
2589,15,en,108.0,The November Man,254904,ex cia oper brought back person mission find pit former pupil deadli game involv high level cia offici russian presidentelect,an ex cia operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level cia officials and the russian presidentelect,6.0,cia retired agent,crime action thriller,pierce-brosnan luke-bracey olga-kurylenko bill-smitrovich amila-terzimehic,roger-donaldson,sriram-das,English,irish-dreamtime relativity-media,United-Kingdom United-States-of-America,sriram-das roger-donaldson
2590,15,en,109.0,Eye of the Beholder,18681,reclus surveil expert hire spi mysteri blackmail may serial killer,a reclusive surveillance expert is hired to spy on a mysterious blackmailer who just may be a serial killer,5.3,beautiful-woman serial-killer secret-service blindness,drama mystery thriller,ewan-mcgregor ashley-judd patrick-bergin k.d.-lang geneviève-bujold,stephan-elliott,,English Français,destination-films,Australia Canada United-Kingdom,stephan-elliott
2591,15,en,131.0,The Hurt Locker,12162,forc play danger game catandmous chao war elit armi bomb squad unit must come togeth citi everyon potenti enemi everi object could deadli bomb,forced to play a dangerous game of catandmouse in the chaos of war an elite army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb,7.2,sniper explosive loyalty u.s.-army iraq car-bomb suspense tension iraq-war desert bomb-squad body-armor woman-director army-sergeant,drama thriller war,jeremy-renner anthony-mackie brian-geraghty guy-pearce ralph-fiennes,kathryn-bigelow,kathryn-bigelow greg-shapiro mark-boal nicolas-chartier jenn-lee,English العربية Türkçe,summit-entertainment kingsgate-films,United-States-of-America,kathryn-bigelow greg-shapiro mark-boal nicolas-chartier jenn-lee
2592,15,en,114.0,Firestarter,11495,youth andi mcgee david keith futur wife vicki heather locklear particip secret experi allow subject mysteri medic test year later coupl daughter charli drew barrymor begin exhibit abil set fire sole mind volatil talent make youngster extrem danger soon becom target enigmat agenc known shop,as youths andy mcgee david keith and his future wife vicky heather locklear participated in secret experiments allowing themselves to be subjected to mysterious medical tests years later the couples daughter charlie drew barrymore begins to exhibit the ability of setting fires solely with her mind this volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as the shop,5.9,fire telepathy intelligence college,fantasy drama horror action thriller,david-keith drew-barrymore freddie-jones heather-locklear martin-sheen,mark-l.-lester,"frank-capra,-jr.",English Italiano,universal-pictures dino-de-laurentiis-company,United-States-of-America,"frank-capra,-jr. mark-l.-lester"
2593,15,en,97.0,Killing Them Softly,64689,jacki cogan enforc hire restor order three dumb guy rob mob protect card game caus local crimin economi collaps,jackie cogan is an enforcer hired to restore order after three dumb guys rob a mob protected card game causing the local criminal economy to collapse,5.8,poker gambling robbery based-on-novel hitman economy murder blood hit mobster gangster criminal,crime thriller,brad-pitt scoot-mcnairy ben-mendelsohn james-gandolfini ray-liotta,andrew-dominik,brad-pitt dede-gardner anthony-katagas paula-mae-schwartz steve-schwartz,English,plan-b-entertainment 1984-private-defense-contractors,United-States-of-America,brad-pitt dede-gardner anthony-katagas paula-mae-schwartz steve-schwartz andrew-dominik
2594,15,en,121.0,A Most Wanted Man,157849,halfchechen halfrussian tortur halftodeath immigr turn hamburg islam commun lay claim father ill gotten fortun german us secur agenc take close interest clock tick stake rise race establish want man true ident oppress victim destructionb extremist,when a halfchechen halfrussian tortured halftodeath immigrant turns up in hamburgs islamic community laying claim to his fathers ill gotten fortune both german and us security agencies take a close interest as the clock ticks down and the stakes rise the race is on to establish this most wanted mans true identity  oppressed victim or destructionbent extremist,6.5,terror muslim intelligence immigrant torture surveillance security,thriller,philip-seymour-hoffman rachel-mcadams robin-wright daniel-brühl willem-dafoe,anton-corbijn,andrea-calderwood malte-grunert gail-egan stephen-cornwell simon-cornwell,English,senator-film-produktion lionsgate,United-Kingdom United-States-of-America Germany,andrea-calderwood malte-grunert gail-egan stephen-cornwell simon-cornwell anton-corbijn
2595,0,en,87.0,Freddy Got Fingered,13166,unemploy cartoonist move back parent younger brother freddi parent demand leav begin spread rumor father sexual abus freddi,an unemployed cartoonist moves back in with his parents and younger brother freddy when his parents demand he leave he begins to spread rumors that his father is sexually abusing freddy,4.6,wheelchair slacker sausage,comedy,tom-green rip-torn marisa-coughlan eddie-kaye-thomas harland-williams,tom-green,marc-s.-fischer larry-brezner lauren-lloyd howard-lapides derek-harvie,English,regency-enterprises epsilon-motion-pictures,United-States-of-America,marc-s.-fischer larry-brezner lauren-lloyd howard-lapides derek-harvie tom-green
2596,0,en,85.0,VeggieTales: The Pirates Who Don't Do Anything,15511,set sail adventur boatload belov veggietal pal embark fun fresh pirat adventur trademark humor silli song pirat dont anyth veggietal movi larri cucumb mr lunt pa grape find ride live mysteri whisk back time pirat rule high sea,set sail for adventure a boatload of beloved veggietales pals embark on a fun and fresh pirate adventure with their trademark humor and silly songs in the pirates who dont do anything  a veggietales movie larry the cucumber mr lunt and pa grape find themselves on the ride of their lives when they are mysteriously whisked back to the time when pirates ruled the high seas,5.9,brother-brother-relationship hostage vegetable children pirate king waiter aftercreditsstinger duringcreditsstinger,adventure animation comedy science-fiction family,phil-vischer mike-nawrocki cam-clarke laura-gerow yuri-lowenthal,mike-nawrocki,,,starz-animation big-idea-productions,United-States-of-America,mike-nawrocki
2597,15,en,85.0,U2 3D,37003,3d present u2 global vertigo tour shot seven differ show product employ greatest number 3d camera ever use singl project,a 3d presentation of u2s global vertigo tour shot at seven different shows this production employs the greatest number of 3d cameras ever used for a single project,6.7,,music documentary,bono the-edge adam-clayton -larry-mullen-jr.,mark-pellington,jon-shapiro catherine-owens john-modell peter-shapiro,English,national-geographic-entertainment 3ality-digital-entertainment,United-States-of-America,jon-shapiro catherine-owens john-modell peter-shapiro mark-pellington
2598,25,en,87.0,Highlander: Endgame,12211,immort connor duncan macleod join forc man connor distant past highland scotland kell immens power immort lead armi equal power deadli immort swordsmen assassin immort aliv abl defeat kell yet neither connor duncan skill enough take live two eventu come one inevit conclus one must die combin power highland bring kell good one question,immortals connor and duncan macleod join forces against a man from connors distant past in the highlands of scotland kell an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins no immortal alive has been able to defeat kell yet and neither connor nor duncan are skilled enough themselves to take him on and live the two of them eventually come to one inevitable conclusion one of them must die so that the combined power of both the highlanders can bring down kell for good there can be only one the question is who will it be,4.4,loss-of-lover antiquary loss-of-powers death-of-a-friend immortality,action fantasy science-fiction,christopher-lambert bruce-payne adrian-paul donnie-yen lisa-barbuscia,douglas-aarniokoski,bob-weinstein peter-s.-davis william-n.-panzer,English Français ,davis-panzer-productions dimension-films,United-States-of-America,bob-weinstein peter-s.-davis william-n.-panzer douglas-aarniokoski
2599,0,en,121.0,Idlewild,13816,music set prohibitionera american south speakeasi perform club manag rooster must contend gangster eye club piano player partner perciv must choos love angel oblig father,a musical set in the prohibitionera american south where a speakeasy performer and club manager rooster must contend with gangsters who have their eyes on the club while his piano player and partner percival must choose between his love angel or his obligations to his father,5.1,mortician tied-to-chair song-and-dance piano-lesson fisticuffs talking-to-the-dead close-up,crime drama music,andré-benjamin paula-patton terrence-howard faizon-love malinda-williams,bryan-barber,charles-roven andré-benjamin bryan-barber erika-conner robert-guralnick blue-williams,English,atlas-entertainment forensic-films,United-States-of-America,charles-roven andré-benjamin bryan-barber erika-conner robert-guralnick blue-williams
2600,15,en,107.0,One Day,51828,romant comedi center dexter emma first meet graduat 1988 proceed keep touch regularli film follow juli 15 annual usual someth togeth,a romantic comedy centered on dexter and emma who first meet during their graduation in 1988 and proceed to keep in touch regularly the film follows what they do on july 15 annually usually doing something together,7.0,based-on-novel comedian job love male-female-relationship author writer divorce best-friends-in-love woman-director missed-opportunity,drama romance,anne-hathaway jim-sturgess patricia-clarkson ken-stott romola-garai,lone-scherfig,nina-jacobson,English,film-4 color-force,United-Kingdom United-States-of-America,nina-jacobson lone-scherfig
2601,15,en,111.0,Whip It,22798,bodeen texa land dragon indierock love misfit find way deal smalltown miseri discov roller derbi leagu nearbi austin,in bodeen texas land of the dragon an indierock loving misfit finds a way of dealing with her smalltown misery after she discovers a roller derby league in nearby austin,6.7,sport roller-derby duringcreditsstinger woman-director,drama,ellen-page alia-shawkat kristen-wiig drew-barrymore shannon-eagen,drew-barrymore,,English,dune-entertainment mandate-pictures,United-States-of-America,drew-barrymore
2602,15,en,92.0,Knockaround Guys,7501,four son wellknown new york mobster must retriev bag cash small montana town rule corrupt sheriff,four sons of wellknown new york mobsters must retrieve a bag of cash from a small montana town ruled by a corrupt sheriff,5.9,montana sheriff pile-of-dead-bodies money mobster,crime thriller,barry-pepper andy-davoli seth-green vin-diesel john-malkovich,brian-koppelman,,Český English,lawrence-bender-productions,United-States-of-America,brian-koppelman
2603,0,en,97.0,Confidence,10743,jake vig doesnt know might get kill sharp polish grifter jake swindl thousand dollar unsuspect lionel dolbi help crew becom clear lionel wasnt mark account eccentr crime boss winston king jake crew stay one step ahead crimin cop final settl debt,what jake vig doesnt know just might get him killed a sharp and polished grifter jake has just swindled thousands of dollars from the unsuspecting lionel dolby with the help of his crew it becomes clear that lionel wasnt just any mark he was an accountant for eccentric crime boss winston king jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their debt,6.4,grifter con big-con con-game premarital-sex,action comedy thriller crime,edward-burns rachel-weisz morris-chestnut dustin-hoffman andy-garcía,james-foley,michael-ohoven marc-butan michael-paseornek michael-burns,English,cinerenta-medienbeteiligungs-kg lionsgate,Canada Germany United-States-of-America,michael-ohoven marc-butan michael-paseornek michael-burns james-foley
2604,0,en,97.0,The Muse,37718,happen screenwrit brook lose edg turn anyon help even mythic zeuss daughter stone he will pay albeit reluctantli whatev price take satisfi goddess especi advic get go surefir script howev limit help also get writer wife macdowel go bakeri enterpris much chagrin brook alreadi make mani person sacrific help,what happens when a screenwriter brooks loses his edge he turns to anyone he can for help even if its the mythical zeuss daughter stone and hes willing to pay albeit reluctantly whatever price it takes to satisfy this goddess especially when her advice gets him going again on a surefire script however this is not the limit of her help she also gets the writers wife macdowell going on her own bakery enterprise much to the chagrin of brooks who has already had to make many personal sacrifices for his own help,5.3,screenwriter muse,fantasy comedy,albert-brooks sharon-stone andie-macdowell jeff-bridges cybill-shepherd,albert-brooks,,English,october-films,United-States-of-America,albert-brooks
2605,20,en,125.0,De-Lovely,15237,pari venic broadway hollywood live cole porter wife linda never less glamor wildli unconvent though cole thirst life strain marriag linda never stop muse inspir greatest son twentieth centuri,from paris to venice to broadway to hollywood the lives of cole porter and his wife linda were never less than glamorous and wildly unconventional and though coles thirst for life strained their marriage linda never stopped being his muse inspiring some of the greatest sons of the twentieth century,6.3,musical biography hollywood theater,drama music,kevin-kline ashley-judd jonathan-pryce kevin-mcnally sandra-nelson,irwin-winkler,irwin-winkler charles-winkler rob-cowan,English Français Italiano,metro-goldwyn-mayer-(mgm) winkler-films,United-Kingdom United-States-of-America,irwin-winkler charles-winkler rob-cowan
2606,15,en,124.0,New York Stories,9686,three stori happen new york first scorses painter creat work help high volum music attract assist second coppola rich bold 12 year old help separ parent reconcili third allen witti piec comedi imposs get rid son role,three stories happening in new york the first by scorsese is about a painter who creates his works helped by high volume music and an attractive assistant second by coppola is about a rich and bold 12 years old who helps her separated parents to reconciliate third by allen is a witty piece of comedy about the impossibility of getting rid of the sons role,6.2,new-york mother hotel robbery jealousy obsession artist gallery assistant anthology lawyer city art occult young,comedy drama romance,woody-allen marvin-chatinover mae-questel mia-farrow molly-regan,francis-ford-coppola,,English,touchstone-pictures,United-States-of-America,francis-ford-coppola
2607,0,en,76.0,Barney's Great Adventure,17644,mom dad dump son codi daughter abbi best friend marcella babi farm grandpa grandma purpl dinosaur barney soon appear entertain kid larg color egg deposit farm shoot star accident cart barney kid start chase,mom and dad dump son cody daughter abby her best friend marcella and a baby on the farm with grandpa and grandma purple dinosaur barney soon appears to entertain kids and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off barney and kids start their chase for it,2.9,,family,,steve-gomer,,English,polygram-filmed-entertainment lyrick-studios,United-States-of-America,steve-gomer
2608,15,en,96.0,The Man with the Iron Fists,97430,feudal china blacksmith make weapon small villag put posit must defend fellow villag,in feudal china a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers,5.2,blacksmith brothel femme-fatale violence ancient-china crossbow duringcreditsstinger lens-flare feudality,action,russell-crowe lucy-liu jamie-chung rza zhu-zhu,rza,marc-abraham eric-newman eli-roth,English,arcade-pictures iron-fists,Hong-Kong United-States-of-America,marc-abraham eric-newman eli-roth rza
2609,15,en,93.0,Home Fries,12257,dorian angu chase woman stepfath helicopt frighten death effort cover track dorian begin investig stepfath mistress salli work fastfood drivethrough she pregnant dorian quickli fall love unfortun scheme mother want salli dead salli isnt sure want dorian child father also brother,dorian and angus chase down their womanizing stepfather with a helicopter frightening him to death in his effort to cover their tracks dorian begins investigating his stepfathers mistress sally she works at a fastfood drivethrough shes pregnant and dorian quickly falls in love with her unfortunately his scheming mother wants sally dead and sally isnt sure she wants dorian to be her childs father and also his brother,4.8,waitress infidelity planned-murder pregnancy-and-birth funeral widow hamburger junk-food,drama comedy romance,drew-barrymore catherine-o'hara luke-wilson jake-busey shelley-duvall,dean-parisot,barry-levinson mark-johnson lawrence-kasdan charles-newirth,English,warner-bros. baltimore-pictures,United-States-of-America,barry-levinson mark-johnson lawrence-kasdan charles-newirth dean-parisot
2610,0,en,96.0,Here On Earth,13539,rich colleg kid taught lesson joy ride end destroy countri restaur,a rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant,5.4,car-race private-school diner,romance,leelee-sobieski chris-klein josh-hartnett michael-rooker annie-corley,mark-piznarski,,English,fox-2000-pictures friendly-productions,United-States-of-America,mark-piznarski
